Estimation results of model 'HHMM_2_2_DAX_DAX_gamma_t':

log-likelihood: 16608.38
AIC:            -33172.77
BIC:            -33025.03
exit code:      1
iterations:     81

               est       lb_0.95   ub_0.95  
Gamma_21       0.254     0.254     0.254    
Gamma_12       4.876e-12 4.876e-12 4.876e-12
Gamma_star1_21 0.9944    0.9944    0.9944   
Gamma_star1_12 1.082e-20 1.082e-20 1.082e-20
Gamma_star2_21 0.1512    0.1512    0.1512   
Gamma_star2_12 0.08237   0.08237   0.08237  
mu_1           0.01022   0.009628  0.01085  
mu_2           0.01184   0.01184   0.01184  
mu_star1_1     0.0005883 0.0002793 0.0008972
mu_star1_2     -0.5998   NA        NA       
mu_star2_1     0.6219    0.6219    0.6219   
mu_star2_2     -0.4361   -0.4361   -0.4361  
sigma_1        0.004959  0.004474  0.005496 
sigma_2        0.004006  0.004006  0.004006 
sigma_star1_1  0.009512  0.009162  0.009875 
sigma_star1_2  0.000325  0.000325  0.000325 
sigma_star2_1  0.00192   0.00192   0.00192  
sigma_star2_2  1.533e+24 1.533e+24 1.533e+24
df_star1_1     3.059     2.771     3.375    
df_star1_2     19        19        19       
df_star2_1     30        30        30       
df_star2_2     9.169e-23 9.169e-23 9.169e-23
