Estimation results of model 'HHMM_2_2_DAX_DAX_t_t':

log-likelihood: 17093.91
AIC:            -34139.82
BIC:            -33978.65
exit code:      1
iterations:     62

               est       lb_0.95   ub_0.95   
Gamma_21       0.001777  0.001777  0.001777  
Gamma_12       0.2414    0.2414    0.2414    
Gamma_star1_21 0.06907   NA        NA        
Gamma_star1_12 0.1491    NA        NA        
Gamma_star2_21 0.01461   0.007292  0.02904   
Gamma_star2_12 0.007055  0.0035    0.01417   
mu_1           0.001412  0.001412  0.001412  
mu_2           0.0003783 6.48e-05  0.0006918 
mu_star1_1     0.004122  NA        NA        
mu_star1_2     0.003819  0.003819  0.003819  
mu_star2_1     0.0009428 0.0006345 0.001251  
mu_star2_2     -0.00124  -0.002265 -0.0002162
sigma_1        1.427e-05 1.427e-05 1.427e-05 
sigma_2        0.002126  0.001827  0.002474  
sigma_star1_1  7.756e-06 7.756e-06 7.756e-06 
sigma_star1_2  2.601e+14 2.601e+14 2.601e+14 
sigma_star2_1  0.007804  0.007385  0.008246  
sigma_star2_2  0.01844   0.01705   0.01994   
df_1           0.9159    0.9159    0.9159    
df_2           4.22      2.485     7.166     
df_star1_1     25.92     25.92     25.92     
df_star1_2     0.1643    0.1643    0.1643    
df_star2_1     6.327     4.923     8.131     
df_star2_2     6.675     4.942     9.015     
