Estimation results of model 'HHMM_2_2_DAX_DBK_gamma_t':

log-likelihood: 13714.71
AIC:            -27385.43
BIC:            -27237.69
exit code:      1
iterations:     66

               est        lb_0.95    ub_0.95  
Gamma_21       1.26e-19   1.26e-19   1.26e-19 
Gamma_12       0.998      0.998      0.998    
Gamma_star1_21 0.2746     0.2746     0.2746   
Gamma_star1_12 0.2457     0.2457     0.2457   
Gamma_star2_21 0.7545     0.7545     0.7545   
Gamma_star2_12 4.545e-30  4.545e-30  4.545e-30
mu_1           0.0002389  0.0002389  0.0002389
mu_2           0.01022    0.009627   0.01085  
mu_star1_1     1.485      1.485      1.485    
mu_star1_2     -1.856     NA         NA       
mu_star2_1     -0.0002049 -0.0007331 0.0003234
mu_star2_2     -1.301     -1.301     -1.301   
sigma_1        1.147e+09  1.147e+09  1.147e+09
sigma_2        0.004959   0.004474   0.005496 
sigma_star1_1  0.0009943  0.0009943  0.0009943
sigma_star1_2  3.339e+73  3.339e+73  3.339e+73
sigma_star2_1  0.01626    0.01569    0.01685  
sigma_star2_2  0.0002165  0.0002165  0.0002165
df_star1_1     12         12         12       
df_star1_2     4.928e-29  4.928e-29  4.928e-29
df_star2_1     3.062      2.79       3.36     
df_star2_2     20         20         20       
