Estimation results of model 'HHMM_2_2_DAX_DBK_t_t_new':

AIC:            -27183.41
BIC:            -27022.05
exit code:      1
iterations:     276

               est        lb_0.95   ub_0.95  
Gamma_21       0.1008     0.05321   0.1827   
Gamma_12       0.09064    0.05013   0.1584   
Gamma_star1_21 0.01065    0.002583  0.04284  
Gamma_star1_12 0.02237    0.005982  0.08001  
Gamma_star2_21 1.343e-05  1.004e-05 1.797e-05
Gamma_star2_12 2.326e-06  1.739e-06 3.113e-06
mu_1           0.007289   0.0007819 0.0138   
mu_2           -0.00161   -0.01522  0.012    
mu_star1_1     0.001033   0.0001755 0.00189  
mu_star1_2     -0.0008217 -0.001752 0.0001085
mu_star2_1     -8.533e-05 -0.001226 0.001055 
mu_star2_2     -0.003453  -0.009636 0.00273  
sigma_1        0.03712    0.03247   0.04244  
sigma_2        0.06967    0.05448   0.08909  
sigma_star1_1  0.009313   0.007908  0.01097  
sigma_star1_2  0.01579    0.01452   0.01717  
sigma_star2_1  0.02306    0.02166   0.02455  
sigma_star2_2  0.05366    0.04529   0.06358  
df_1           7023       7014      7031     
df_2           12.59      1.018     155.7    
df_star1_1     6.795      3.212     14.38    
df_star1_2     10.82      6.373     18.36    
df_star2_1     7.504      5.465     10.3     
df_star2_2     9.03       3.485     23.4     
