Estimation results of model 'HHMM_2_2_DAX_SAP_gamma_t':

log-likelihood: 14971.36
AIC:            -29898.71
BIC:            -29750.98
exit code:      1
iterations:     62

               est        lb_0.95    ub_0.95   
Gamma_21       0.2135     0.2135     0.2135    
Gamma_12       2.663e-10  2.663e-10  2.663e-10 
Gamma_star1_21 4.237e-19  NA         NA        
Gamma_star1_12 0.9902     0.9902     0.9902    
Gamma_star2_21 0.2627     NA         NA        
Gamma_star2_12 0.042      0.042      0.042     
mu_1           0.01022    0.009627   0.01085   
mu_2           1.053e+29  1.053e+29  1.053e+29 
mu_star1_1     0.4524     0.4521     0.4528    
mu_star1_2     0.000493   0.000493   0.000493  
mu_star2_1     0.3576     0.3576     0.3576    
mu_star2_2     -0.6084    -0.6084    -0.6084   
sigma_1        0.004959   0.004474   0.005496  
sigma_2        1.008e+133 1.008e+133 1.008e+133
sigma_star1_1  0.002741   0.002638   0.002847  
sigma_star1_2  0.0111     0.0111     0.0111    
sigma_star2_1  3.549e+51  3.549e+51  3.549e+51 
sigma_star2_2  0.0002433  0.0002433  0.0002433 
df_star1_1     29.81      27.68      32.09     
df_star1_2     2.174      2.174      2.174     
df_star2_1     1.407e-14  1.407e-14  1.407e-14 
df_star2_2     22         22         22        
