Estimation results of model 'HHMM_2_2_DAX_SAP_t_t':

AIC:            -30077.47
BIC:            -29916.11
exit code:      1
iterations:     165

               est        lb_0.95   ub_0.95  
Gamma_21       0.06836    0.02456   0.1762   
Gamma_12       0.02252    0.008516  0.05818  
Gamma_star1_21 0.01829    0.006586  0.04977  
Gamma_star1_12 0.01963    0.007494  0.05042  
Gamma_star2_21 0.01851    0.00609   0.05486  
Gamma_star2_12 0.0151     0.004597  0.0484   
mu_1           0.006816   0.0009795 0.01265  
mu_2           -0.003495  -0.02696  0.01997  
mu_star1_1     0.0007725  0.0002783 0.001267 
mu_star1_2     -0.0002386 -0.000978 0.0005009
mu_star2_1     -2.425e-05 -0.001266 0.001217 
mu_star2_2     -0.001782  -0.005968 0.002404 
sigma_1        0.03875    0.0356    0.04218  
sigma_2        0.08721    0.07015   0.1084   
sigma_star1_1  0.008086   0.00741   0.008825 
sigma_star1_2  0.0128     0.01178   0.01391  
sigma_star2_1  0.02007    0.01765   0.02283  
sigma_star2_2  0.04147    0.03583   0.048    
df_1           20.54      NA        NA       
df_2           12.83      1.703     96.65    
df_star1_1     7.13       4.276     11.89    
df_star1_2     5.306      4.203     6.699    
df_star2_1     6.155      3.127     12.12    
df_star2_2     5.874      3.653     9.446    
