Estimation results of model 'HHMM_2_2_DAX_VW_gamma_t':

AIC:            -29981.99
BIC:            -29832.67
exit code:      1
iterations:     41

               est       lb_0.95    ub_0.95  
Gamma_21       5.184e-06 5.184e-06  5.184e-06
Gamma_12       0.08308   0.08308    0.08308  
Gamma_star1_21 0.2627    0.2627     0.2627   
Gamma_star1_12 0.05424   0.05424    0.05424  
Gamma_star2_21 4.459e-11 4.459e-11  4.459e-11
Gamma_star2_12 0.9998    NA         NA       
mu_1           0.005409  0.005409   0.005409 
mu_2           0.0104    0.009822   0.01101  
mu_star1_1     -0.7073   -0.7073    -0.7073  
mu_star1_2     -0.817    -0.817     -0.817   
mu_star2_1     0.4987    0.4987     0.4987   
mu_star2_2     0.00034   -0.0001533 0.0008333
sigma_1        0.0004989 0.0004989  0.0004989
sigma_2        0.005018  0.004544   0.00554  
sigma_star1_1  0.0009695 0.0009695  0.0009695
sigma_star1_2  0.00109   0.00109    0.00109  
sigma_star2_1  0.01115   0.01115    0.01115  
sigma_star2_2  0.01588   0.01534    0.01644  
df_star1_1     15        15         15       
df_star1_2     17        17         17       
df_star2_1     16        16         16       
df_star2_2     3.303     2.998      3.64     
