Estimation results of model 'HHMM_2_2_DAX_VW_t_t':

AIC:            -27765.06
BIC:            -27603.71
exit code:      1
iterations:     129

               est       lb_0.95    ub_0.95   
Gamma_21       0.09905   0.04015    0.2242    
Gamma_12       0.03885   0.01869    0.07901   
Gamma_star1_21 0.01709   0.002918   0.09366   
Gamma_star1_12 0.0084    0.001684   0.04081   
Gamma_star2_21 0.06358   0.02774    0.1391    
Gamma_star2_12 0.2613    0.2051     0.3265    
mu_1           0.009745  0.00403    0.01546   
mu_2           -0.008482 -0.03561   0.01865   
mu_star1_1     0.001054  0.0002453  0.001863  
mu_star1_2     9.738e-05 -0.0006558 0.0008505 
mu_star2_1     -0.002282 -0.006053  0.001488  
mu_star2_2     -0.00332  -0.005876  -0.0007631
sigma_1        0.03535   0.03033    0.04119   
sigma_2        0.0962    0.07701    0.1202    
sigma_star1_1  0.01794   0.0168     0.01915   
sigma_star1_2  0.009671  0.008541   0.01095   
sigma_star2_1  0.01746   0.01232    0.02474   
sigma_star2_2  0.03485   0.03217    0.03775   
df_1           5.5       2.66       11.37     
df_2           19.9      1.277      310.1     
df_star1_1     10.19     6.932      14.99     
df_star1_2     6.366     3.904      10.38     
df_star2_1     26.35     0.2763     2512      
df_star2_2     5.965     4.225      8.423     
