Estimation results of model 'HHMM_2_2_SANDP500_AA_t_t':

AIC:            -16298.46
BIC:            -16144.64
exit code:      1
iterations:     121

               est       lb_0.95   ub_0.95 
Gamma_21       0.08539   0.03101   0.2141  
Gamma_12       0.02373   0.00638   0.08427 
Gamma_star1_21 0.01504   0.002789  0.07699 
Gamma_star1_12 0.006099  0.001121  0.03246 
Gamma_star2_21 0.03277   0.01841   0.05766 
Gamma_star2_12 0.01099   NA        NA      
mu_1           0.01101   0.006418  0.0156  
mu_2           -0.009286 -0.02735  0.008777
mu_star1_1     0.001097  6.928e-05 0.002125
mu_star1_2     -0.001328 -0.004715 0.002058
mu_star2_1     -0.001184 -0.004263 0.001895
mu_star2_2     -0.004134 -0.01581  0.007546
sigma_1        0.02186   0.01766   0.02706 
sigma_2        0.06567   0.0481    0.08966 
sigma_star1_1  0.01748   0.01625   0.0188  
sigma_star1_2  0.02906   0.02505   0.0337  
sigma_star2_1  0.03755   0.03381   0.0417  
sigma_star2_2  0.09763   0.08018   0.1189  
df_1           5.475     1.817     16.49   
df_2           18.71     0.2582    1356    
df_star1_1     5.682     4.203     7.68    
df_star1_2     8.44      4.124     17.27   
df_star2_1     7.368     4.541     11.96   
df_star2_2     18.55     2.111     163     
