Estimation results of model 'HHMM_2_2_SANDP500_AMERICANAIRLINES_t_t':

log-likelihood: 8680.19
AIC:            -17312.39
BIC:            -17158.70
exit code:      1
iterations:     68

               est       lb_0.95    ub_0.95  
Gamma_21       0.07745   0.03244    0.1737   
Gamma_12       0.07027   0.03225    0.1464   
Gamma_star1_21 0.1552    0.1552     0.1552   
Gamma_star1_12 4.95e-05  4.947e-05  4.953e-05
Gamma_star2_21 0.02712   0.01025    0.06981  
Gamma_star2_12 0.00745   0.002892   0.01905  
mu_1           0.000623  0.000381   0.0008649
mu_2           3.799e-05 -0.0005691 0.0006451
mu_star1_1     0.0007578 -0.0001558 0.001671 
mu_star1_2     -0.003726 -0.003726  -0.003726
mu_star2_1     -0.001334 -0.003657  0.0009893
mu_star2_2     -0.003545 -0.01434   0.007252 
sigma_1        0.001179  0.001014   0.001369 
sigma_2        0.002771  0.002339   0.003282 
sigma_star1_1  0.01858   0.01758    0.01964  
sigma_star1_2  3.455e+18 NA         NA       
sigma_star2_1  0.03546   0.03267    0.03848  
sigma_star2_2  0.09128   0.07834    0.1064   
df_1           13.72     13.57      13.88    
df_2           26.72     26.46      26.99    
df_star1_1     5.067     4.062      6.32     
df_star1_2     0.2694    0.2694     0.2694   
df_star2_1     7.375     4.837      11.25    
df_star2_2     10.87     4.068      29.04    
