Estimation results of model 'HHMM_2_2_SANDP500_SANDP500_t_t':

log-likelihood: 18412.14
AIC:            -36776.28
BIC:            -36615.11
exit code:      1
iterations:     111

               est       lb_0.95    ub_0.95   
Gamma_21       0.2158    0.1246     0.3473    
Gamma_12       0.07304   0.04232    0.1232    
Gamma_star1_21 0.01768   0.008965   0.03456   
Gamma_star1_12 0.01402   0.006981   0.02794   
Gamma_star2_21 0.3084    0.3083     0.3085    
Gamma_star2_12 0.0001659 0.0001658  0.0001661 
mu_1           0.0006569 0.0004583  0.0008555 
mu_2           -0.001063 -0.001866  -0.0002609
mu_star1_1     0.001061  0.0008325  0.001289  
mu_star1_2     0.0001296 -0.0003782 0.0006375 
mu_star2_1     -0.001051 -0.002075  -2.604e-05
mu_star2_2     -0.005804 -0.01751   0.005899  
sigma_1        0.001241  0.001033   0.001491  
sigma_2        0.003047  0.002534   0.003664  
sigma_star1_1  0.004448  0.00415    0.004768  
sigma_star1_2  0.01007   0.009532   0.01064   
sigma_star2_1  0.01538   0.01416    0.01671   
sigma_star2_2  0.001059  0.001056   0.001062  
df_1           8.479     2.438      29.48     
df_2           49.07     48.94      49.21     
df_star1_1     5.429     4.103      7.185     
df_star1_2     124       120.5      127.7     
df_star2_1     4.159     3.284      5.266     
df_star2_2     23.55     23.55      23.55     
