Estimation results of model 'HHMM_3_2_DAX_DBK_gamma_t':

log-likelihood: 14009.38
AIC:            -27946.77
BIC:            -27705.01
exit code:      1
iterations:     110

               est       lb_0.95    ub_0.95  
Gamma_21       0.01695   0.01695    0.01695  
Gamma_31       0.0005918 0.0005918  0.0005918
Gamma_12       0.03939   0.03939    0.03939  
Gamma_32       0.0005031 0.0005031  0.0005031
Gamma_13       0.02193   0.02193    0.02193  
Gamma_23       0.04141   0.04141    0.04141  
Gamma_star1_21 0.09769   NA         NA       
Gamma_star1_12 0.1941    0.1941     0.1941   
Gamma_star2_21 0.07797   0.07797    0.07797  
Gamma_star2_12 0.249     0.249      0.249    
Gamma_star3_21 0.01957   0.01031    0.03684  
Gamma_star3_12 0.006015  0.003175   0.01137  
mu_1           0.002278  NA         NA       
mu_2           0.009449  0.009449   0.009449 
mu_3           0.01022   0.009625   0.01085  
mu_star1_1     -1.153    -1.153     -1.153   
mu_star1_2     -1.886    -1.886     -1.886   
mu_star2_1     1.4       1.4        1.4      
mu_star2_2     0.8918    0.8918     0.8918   
mu_star3_1     7.717e-05 -0.0004493 0.0006036
mu_star3_2     -0.002297 -0.004651  5.694e-05
sigma_1        0.0004359 0.0004359  0.0004359
sigma_2        0.004359  0.004359   0.004359 
sigma_3        0.004958  0.004472   0.005496 
sigma_star1_1  0.0008819 0.0008819  0.0008819
sigma_star1_2  0.0009517 0.0009517  0.0009517
sigma_star2_1  0.008782  0.008782   0.008782 
sigma_star2_2  0.009618  0.009618   0.009618 
sigma_star3_1  0.01482   0.01418    0.01549  
sigma_star3_2  0.03433   0.03081    0.03826  
df_star1_1     13        13         13       
df_star1_2     25        25         25       
df_star2_1     28        28         28       
df_star2_2     26        26         26       
df_star3_1     7.093     5.523      9.109    
df_star3_2     5.32      3.915      7.229    
