Estimation results of model 'HHMM_3_2_DAX_DBK_t_t':

AIC:            -29117.89
BIC:            -28855.69
exit code:      2
iterations:     71

               est        lb_0.95    ub_0.95   
Gamma_21       0.004861   NA         NA        
Gamma_31       0.08221    NA         NA        
Gamma_12       0.09428    0.09428    0.09428   
Gamma_32       0.1673     NA         NA        
Gamma_13       0.1897     0.1897     0.1897    
Gamma_23       0.003848   NA         NA        
Gamma_star1_21 0.1315     0.1315     0.1315    
Gamma_star1_12 0.1864     0.1864     0.1864    
Gamma_star2_21 0.5987     0.5987     0.5987    
Gamma_star2_12 0.01053    0.01053    0.01053   
Gamma_star3_21 0.2519     NA         NA        
Gamma_star3_12 0.1736     0.1736     0.1736    
mu_1           0.002932   0.002932   0.002932  
mu_2           0.0002673  0.0002673  0.0002673 
mu_3           -0.002327  -0.002327  -0.002327 
mu_star1_1     0.001365   0.001365   0.001365  
mu_star1_2     0.0007156  0.0007156  0.0007156 
mu_star2_1     0.0001155  0.0001155  0.0001155 
mu_star2_2     -1.058e-11 -1.689e-11 -4.265e-12
mu_star3_1     -0.0008008 -0.0008008 -0.0008008
mu_star3_2     -0.001078  -0.001078  -0.001078 
sigma_1        0.0001051  0.0001051  0.0001051 
sigma_2        0.04391    0.04391    0.04391   
sigma_3        0.002995   0.002995   0.002995  
sigma_star1_1  2.357e-05  2.357e-05  2.357e-05 
sigma_star1_2  2.494e-05  2.494e-05  2.494e-05 
sigma_star2_1  0.0166     0.0166     0.0166    
sigma_star2_2  1.636e-10  1.636e-10  1.636e-10 
sigma_star3_1  0.0007523  0.0007523  0.0007523 
sigma_star3_2  0.0007648  0.0007648  0.0007648 
df_1           27         27         27        
df_2           3.649      3.649      3.649     
df_3           23.86      NA         NA        
df_star1_1     8          8          8         
df_star1_2     17         17         17        
df_star2_1     3.074      3.074      3.074     
df_star2_2     22.71      22.71      22.71     
df_star3_1     26.01      NA         NA        
df_star3_2     16.99      16.99      16.99     
