Estimation results of model 'HHMM_3_2_DAX_SAP_t_t':

AIC:            -31918.78
BIC:            -31656.58
exit code:      2
iterations:     81

               est        lb_0.95    ub_0.95   
Gamma_21       0.001075   0.001075   0.001075  
Gamma_31       0.007024   0.007024   0.007024  
Gamma_12       0.1622     NA         NA        
Gamma_32       0.02732    0.02732    0.02732   
Gamma_13       0.07975    NA         NA        
Gamma_23       0.03423    0.03423    0.03423   
Gamma_star1_21 0.1445     0.1445     0.1445    
Gamma_star1_12 0.1324     0.1324     0.1324    
Gamma_star2_21 0.666      0.666      0.666     
Gamma_star2_12 0.04007    0.04007    0.04007   
Gamma_star3_21 0.1637     0.1637     0.1637    
Gamma_star3_12 0.0621     0.0621     0.0621    
mu_1           0.01635    0.01635    0.01635   
mu_2           0.001472   NA         NA        
mu_3           0.0008412  0.0008412  0.0008412 
mu_star1_1     0.006757   0.006757   0.006757  
mu_star1_2     0.006051   0.006051   0.006051  
mu_star2_1     0.0003255  0.0003255  0.0003255 
mu_star2_2     -1.671e-10 -2.994e-10 -3.487e-11
mu_star3_1     0.0006511  0.0006511  0.0006511 
mu_star3_2     -0.0006684 -0.0006684 -0.0006684
sigma_1        0.001004   0.001004   0.001004  
sigma_2        0.07479    0.07479    0.07479   
sigma_3        0.03876    0.03876    0.03876   
sigma_star1_1  0.0002627  0.0002627  0.0002627 
sigma_star1_2  0.0003007  0.0003007  0.0003007 
sigma_star2_1  0.02524    0.02524    0.02524   
sigma_star2_2  1.249e-09  1.249e-09  1.249e-09 
sigma_star3_1  0.00969    0.00969    0.00969   
sigma_star3_2  0.01611    0.01611    0.01611   
df_1           11         11         11        
df_2           15.02      15.02      15.02     
df_3           11.39      11.39      11.39     
df_star1_1     12         12         12        
df_star1_2     7          7          7         
df_star2_1     5.16       5.16       5.16      
df_star2_2     11.96      11.96      11.96     
df_star3_1     9.927e+05  9.927e+05  9.927e+05 
df_star3_2     8.484      8.484      8.484     
