Estimation results of model 'HHMM_3_2_SANDP500_AA_t_t':

AIC:            -16309.27
BIC:            -16059.31
exit code:      1
iterations:     108

               est        lb_0.95   ub_0.95   
Gamma_21       0.03064    0.008585  0.09656   
Gamma_31       0.004668   0.0004511 0.04478   
Gamma_12       0.1345     NA        NA        
Gamma_32       0.07922    0.04037   0.1441    
Gamma_13       0.02278    NA        NA        
Gamma_23       0.1022     0.04574   0.2016    
Gamma_star1_21 0.005063   0.0009157 0.02747   
Gamma_star1_12 0.2157     0.02077   0.781     
Gamma_star2_21 0.1776     0.02803   0.6179    
Gamma_star2_12 0.02446    NA        NA        
Gamma_star3_21 0.04728    NA        NA        
Gamma_star3_12 0.09032    NA        NA        
mu_1           0.0153     -0.03486  0.06546   
mu_2           0.004048   -0.005668 0.01376   
mu_3           0.003052   -0.001667 0.00777   
mu_star1_1     0.005056   -0.008557 0.01867   
mu_star1_2     -0.0102    -0.01952  -0.0008852
mu_star2_1     -0.0009666 -0.002658 0.0007245 
mu_star2_2     -0.005172  NA        NA        
mu_star3_1     0.00122    -0.001988 0.004429  
mu_star3_2     0.0006044  -0.001305 0.002514  
sigma_1        0.09826    0.06663   0.1449    
sigma_2        0.04265    NA        NA        
sigma_3        0.02591    0.02158   0.03111   
sigma_star1_1  0.02289    0.01463   0.03582   
sigma_star1_2  0.08445    0.07438   0.09588   
sigma_star2_1  0.0322     NA        NA        
sigma_star2_2  0.0579     0.04952   0.06769   
sigma_star3_1  0.01492    0.01307   0.01703   
sigma_star3_2  0.02049    NA        NA        
df_1           14.87      0.4554    485.4     
df_2           19.04      1.39      260.8     
df_3           31.47      0.4536    2183      
df_star1_1     23.41      0.6913    792.6     
df_star1_2     7.441      3.775     14.67     
df_star2_1     6.654      4.415     10.03     
df_star2_2     18.43      0.9523    356.6     
df_star3_1     6.197      2.529     15.19     
df_star3_2     5.83       4.066     8.36      
