Estimation results of model 'HHMM_3_2_SANDP500_SANDP500_t_t':

log-likelihood: 18476.93
AIC:            -36875.87
BIC:            -36613.97
exit code:      1
iterations:     77

               est       lb_0.95    ub_0.95  
Gamma_21       0.00101   0.001046   0.0009492
Gamma_31       0.009879  0.009907   0.009041 
Gamma_12       0.1642    0.1641     0.1643   
Gamma_32       0.1262    0.05688    0.2571   
Gamma_13       0.08896   0.08881    0.0891   
Gamma_23       0.08577   0.05002    0.1432   
Gamma_star1_21 0.0001634 0.0001634  0.0001634
Gamma_star1_12 0.2374    NA         NA       
Gamma_star2_21 0.005868  0.004669   0.007371 
Gamma_star2_12 0.004188  0.003352   0.005231 
Gamma_star3_21 0.005066  0.0018     0.01417  
Gamma_star3_12 0.03233   0.01157    0.0871   
mu_1           0.0008119 0.0008119  0.0008119
mu_2           0.0007068 0.0005091  0.0009045
mu_3           6.489e-05 -0.0007358 0.0008656
mu_star1_1     0.005469  NA         NA       
mu_star1_2     0.00432   0.00432    0.00432  
mu_star2_1     0.001056  0.000525   0.001587 
mu_star2_2     0.0001344 -9.6e-05   0.0003648
mu_star3_1     0.0003295 -0.0004626 0.001122 
mu_star3_2     0.0001251 -0.005936  0.006187 
sigma_1        0.0001158 0.0001158  0.0001158
sigma_2        0.001132  0.0009298  0.001379 
sigma_3        0.003046  0.002488   0.003728 
sigma_star1_1  0.0004216 NA         NA       
sigma_star1_2  0.0008634 0.0008634  0.0008634
sigma_star2_1  0.004436  0.004091   0.004811 
sigma_star2_2  0.009231  0.008571   0.009941 
sigma_star3_1  0.03592   0.03118    0.04137  
sigma_star3_2  0.01357   0.01143    0.01611  
df_1           17        17         17       
df_2           8.59      2.402      30.72    
df_3           23.18     22.72      23.66    
df_star1_1     21        21         21       
df_star1_2     23        23         23       
df_star2_1     5.206     5.036      5.381    
df_star2_2     90.49     69.12      118.5    
df_star3_1     27.13     11.72      62.78    
df_star3_2     14.04     12.69      15.53    
