Estimation results of model 'HHMM_3_2_SP500_JPM':

AIC:            -28839.48
BIC:            -28577.89
exit code:      1
iterations:     89

               est       lb_0.95    ub_0.95  
Gamma_21       0.01105   0.002535   0.04564  
Gamma_31       0.01307   NA         NA       
Gamma_12       0.03357   0.001606   0.3947   
Gamma_32       0.1594    NA         NA       
Gamma_13       0.1411    0.05641    0.1986   
Gamma_23       0.06356   0.03429    0.1117   
Gamma_star1_21 0.001604  NA         NA       
Gamma_star1_12 0.3006    NA         NA       
Gamma_star2_21 0.03089   0.01467    0.06391  
Gamma_star2_12 0.02254   0.01044    0.04795  
Gamma_star3_21 0.194     NA         NA       
Gamma_star3_12 0.06843   0.01424    0.272    
mu_1           0.01065   -0.06627   0.08757  
mu_2           0.001106  -0.004033  0.006245 
mu_3           -0.008866 -0.02196   0.004226 
mu_star1_1     0.004281  -0.06313   0.07169  
mu_star1_2     0.002661  -0.005556  0.01088  
mu_star2_1     0.0005636 0.0001299  0.0009973
mu_star2_2     0.0004255 -0.0005088 0.00136  
mu_star3_1     -0.000636 -0.003559  0.002287 
mu_star3_2     -0.002739 -0.006551  0.001073 
sigma_1        0.123     0.07833    0.1931   
sigma_2        0.02689   0.02227    0.03246  
sigma_3        0.0462    0.03662    0.05829  
sigma_star1_1  0.01876   0.003001   0.1172   
sigma_star1_2  0.06378   0.05616    0.07243  
sigma_star2_1  0.007748  0.007108   0.008445 
sigma_star2_2  0.01511   0.01341    0.01704  
sigma_star3_1  0.02867   0.02532    0.03246  
sigma_star3_2  0.01911   0.01586    0.02302  
df_1           13.06     0.4638     367.5    
df_2           9.562     2.634      34.71    
df_3           5.73      1.774      18.5     
df_star1_1     4.821     NA         NA       
df_star1_2     7.991     3.258      19.6     
df_star2_1     6.402     4.135      9.912    
df_star2_2     11.56     5.734      23.31    
df_star3_1     7.699     NA         NA       
df_star3_2     21.39     3.588      127.6    
