Estimation results of model 'HHMM_DBK_sim':

AIC:            -29798.51
BIC:            -29635.24
exit code:      1
iterations:     147

               true       est        rel. bias lb_0.95    ub_0.95  
Gamma_21       0.09487    0.1183     0.2468    0.07046    0.1919   
Gamma_12       0.09027    0.08989    -0.004298 0.04882    0.1597   
Gamma_star1_21 0.04078    0.04455    0.09222   0.02288    0.08495  
Gamma_star1_12 0.06562    0.06331    -0.03513  0.06331    0.06331  
Gamma_star2_21 0.0005092  0.0007343  0.442     0.0003984  0.001353 
Gamma_star2_12 8.809e-05  8.062e-05  -0.08474  5.013e-05  0.0001297
mu_1           0.008638   0.005983   -0.3074   -0.009636  0.0216   
mu_2           -0.005429  0.007546   -2.39     0.002114   0.01298  
mu_star1_1     0.001024   0.001814   0.7719    0.0002124  0.003415 
mu_star1_2     -0.001096  -0.001867  0.7039    -0.009225  0.005491 
mu_star2_1     -7.802e-05 -3.807e-05 -0.5121   -0.0008041 0.000728 
mu_star2_2     -0.002947  -0.004958  0.6824    -0.005966  -0.00395 
sigma_1        0.03573    0.03432    -0.03958  0.02977    0.03956  
sigma_2        0.07342    0.07817    0.06477   0.06986    0.08747  
sigma_star1_1  0.01007    0.01002    -0.005082 0.009454   0.01062  
sigma_star1_2  0.01643    0.01677    0.02085   0.01414    0.01989  
sigma_star2_1  0.02283    0.0227     -0.005907 0.02114    0.02437  
sigma_star2_2  0.05301    0.05232    -0.01294  0.04824    0.05674  
df_1           31.52      369        10.71     368.8      369.2    
df_2           39.8       261.1      5.561     261        261.2    
df_star1_1     18.55      90.55      3.881     66.44      123.4    
df_star1_2     11.33      14.88      0.3142    2.56       86.55    
df_star2_1     7.39       6.873      -0.06993  6.788      6.959    
df_star2_2     8.714      13.7       0.572     6.949      27       
