Estimation results of model 'HMM_3_DAX':

AIC:            -32091.81
BIC:            -31992.98
exit code:      1
iterations:     102

         est        lb_0.95    ub_0.95  
Gamma_21 0.01669    0.01012    0.02736  
Gamma_31 0.001504   0.00013    0.01702  
Gamma_12 0.0222     0.01352    0.03627  
Gamma_32 0.01613    0.008382   0.03036  
Gamma_13 0.0001737  0.0001736  0.0001728
Gamma_23 0.00519    0.002776   0.009642 
mu_1     0.001296   0.0009695  0.001623 
mu_2     -0.0001771 -0.0007316 0.0003775
mu_3     -0.0009793 -0.003027  0.001068 
sigma_1  0.005904   0.005447   0.0064   
sigma_2  0.01286    0.01213    0.01364  
sigma_3  0.02541    0.02315    0.02789  
df_1     5.689      4.157      7.786    
df_2     34.37      8.905      132.7    
df_3     9.251      5.22       16.39    
