Estimation results of model 'HMM_4_DBK_t':

AIC:            -33556.44
BIC:            -33394.70
exit code:      2
iterations:     164

         est        lb_0.95    ub_0.95   
Gamma_21 0.01063    0.01063    0.01063   
Gamma_31 0.03676    0.03676    0.03676   
Gamma_41 0.02411    0.02411    0.02411   
Gamma_12 0.000747   0.000747   0.000747  
Gamma_32 0.009563   0.009563   0.009563  
Gamma_42 0.135      0.135      0.135     
Gamma_13 0.001356   0.001356   0.001356  
Gamma_23 0.01985    0.01985    0.01985   
Gamma_43 0.05281    0.05281    0.05281   
Gamma_14 0.0001446  0.0001446  0.0001446 
Gamma_24 0.3204     0.3204     0.3204    
Gamma_34 0.5927     0.5927     0.5927    
mu_1     0.0006452  0.0006452  0.0006452 
mu_2     -3.363e-10 -4.564e-10 -2.163e-10
mu_3     -0.0003294 -0.0003294 -0.0003294
mu_4     -0.001342  -0.001342  -0.001342 
sigma_1  0.01714    0.01714    0.01714   
sigma_2  2.352e-09  2.352e-09  2.352e-09 
sigma_3  0.03691    0.03691    0.03691   
sigma_4  0.02767    0.02767    0.02767   
df_1     12.63      12.63      12.63     
df_2     24.02      24.02      24.02     
df_3     1.189      1.189      1.189     
df_4     47.88      47.88      47.88     
